val_idx,subset,pred_stage5,pred_stage6
48,Aka_Gha,"Sɛ obi tra  nyɔnkofa nkitahodie a ɛyɛ ayayade anaa ɛnyɛ papa mu a, ebetumi de nea efi mu ba a emu yɛ",Nea ebefi mu aba no bi ne: Asiane a ɛkɔ soro sɛ wobenya nyinsɛn a wɔnyɛ ho nhyehyɛe ne nyarewa a won
49,Aka_Gha,"Wubetumi ada wo gyinapɛn ne wo gyidi adi denam wo nsusuwii, wo atinka, ne osuahu ahorow a wobɛka aky",Wo ho Nsusuwii: Gye bere fa te w’ankasa wo gyidi ne gyinapɛn ahorow a ɛfa mmerantebere ne mmabaabere
52,Aka_Gha,Mfaso a ɛtra hɔ kyɛ a ɛwɔ ntawntawdi ano aduru ho nimdeɛ a emu yɛ den a wobenya ama mmabun so no bi ,Mmabun betumi adi ntawntawdi anaa adwene a enhyia wɔ nkitahodie bi mu ho dwuma wɔ ɔkwan a ɛma denhyɛ
53,Aka_Gha,Adwene a ɛnteɛ a wɔtaa nya wɔ awo hokwan ne ahofadi a mmabun wɔ ho no bi ne gyidi ahorow a ɛne sɛ mm,"Anansesɛm anaa adwene a ɛnteɛ a wɔtaa nya wɔ nipadua mfonini ho no bi ne: Atrosɛm: ""Nipadua a ɛyɛ tr"
57,Aka_Gha,"Ɛsɛ sɛ mmabun nya nna ne awo akwahosan ho nhyehyɛe ahorow, a nea ɛka ho ne: Nyinsɛn ano aduro (sɛ nh","Sɛ mmabun hyia akwanside anaa nyiyim bere a wɔrehwehwɛ ayaresa mu mmoa a, ɛsɛ sɛ wohu hokwan ahorow "
59,Aka_Gha,"Dwumadie a wɔde ma: Ahyehyɛdeɛ a ɛwɔ mpɔtam hɔ, nnipa mmoa adwumakuo, ne mpɔtam hɔ apɔmuden ho adwum",Wɔma afotu a ɛyɛ kokoam na ɛnni atɛmmuo. Wɔma nimdeɛ fa awoɔ ntoatoasoɔ ne nna mu nyarewa 'STI' ho. 
60,Aka_Gha,"Akwan a wɔfa so hwɛ nneɛma so ne nhwehwɛmu no bi ne nhwehwɛmu a wɔyɛ daa, nsɛm a wɔboaboa ano, ne ad",Adwumayɛ ho nhyehyɛe a mmabun di anim: Atipɛnfo afotu nhyehyɛe ahorow a wɔde wɔn adwene si adwumayɛ 
62,Aka_Gha,Binom ne: Mmabun adwenem apɔwmuden ho animdefoɔ anaa adwene ho animdefoɔ a wɔn ho akokwaw wɔ mmabun ,"Aane, adwenem apɔwmuden ho mmoa bi wɔ hɔ a ɛwɔ Intanɛt so a wobetumi anya wɔ kasa ahorow pii mu anaa"
64,Aka_Gha,"Aban ahorow, NGO ahorow, ne mpɔtam ahyehyɛde ahorow di dwuma titiriw wɔ nhomasua ne adwumayɛ ho ntet",Mmabun wɔ akwanya ahorow a wɔde benya adwuma mu osuahu ne ahokokwaw a mfaso wɔ so denam adwumayɛ ho 
67,Aka_Gha,Gye a wogye tom: Afotufo de tebea a ɛnyɛ atemmu ma a wɔde hwehwɛ nna ho akɔnnɔ ne ɔbarima ne ɔbea nn,Hwehwɛ afotu ne mmoa: Dan kɔ atipɛnfo a wɔwɔ adwempa nkyɛn kɔhwehwɛ afotu ne mmoa bere a worehyia te
70,Aka_Gha,"Wo gyinapɛn ne wo gyidi ahorow na ɛkyerɛ wo nsusuwii wɔ ɔbarima ne ɔbea dwumadi, nipasu, ne nsɛm a w","Amammerɛ ne nyamesom mu gyidi betumi akyerɛ suban, gyinapɛn, ne nneyɛe a ɛfa nna ne awo akwahosan ho"
73,Aka_Gha,"Mmabun bɛtumi ahyɛ nneyɛeɛ a ɛkyerɛ tema, ntoboaseɛ, ne obu ho nkuran wɔ wɔn sukuu, mpɔtam, ne amans","Akwan a etu mpɔn a wɔfa so kyerɛkyerɛ nna mu pene wɔ sukuu ahorow, mmabun nhyehyɛe ahorow, ne mpɔtam"
76,Aka_Gha,"Akwahosan ho adwumayɛfo, akyerɛkyerɛfo, ne mpɔtam hɔ akannifo betumi de amammerɛ ne nyamesom asoɛe a",Akwahosan ho adwumayɛfoɔ ne akyerɛkyerɛfoɔ bɛtumi ne nyamesom akuo adi nkitaho wɔ akwan a ɛfa amamme
81,Aka_Gha,Awofo ne ahwɛfo a wɔwɔ abusua nhyehyɛe ahorow mu betumi aboa mmabun ma wɔanya adwene pa wɔ wɔn nipad,Mmabun betumi abom ayɛ adwuma de ayɛ tebea horow a ahobammɔ wom na ɛka nnipa nyinaa ho denam: Mpɔtam
84,Aka_Gha,"Ma nkurɔfo nhu: Mmabun betumi ayɛ akwahosan ho nkyerɛkyerɛ ɔsatu, adwumayɛbea, anaa nhyiam ahorow ho","Amammerɛ, nyamesom, ne asetena mu gyinapɛn ahorow nya abrabɔ pa ahye ne gyinapɛn ahorow a wɔde di dw"
91,Aka_Gha,Nhyehyɛe mu Nsakrae ne Asoɛe mu Nsakrae a Wɔkamfo: Mmabun betumi de nsɛm ho amanneɛbɔ ho nimdeɛ adi ,Nsusuwii a ɛyɛ katee ma wutumi hu ɔmanfo gyinapɛn anaa akwanhwɛ ahorow a ebetumi anya wo gyinaesi ah
95,Aka_Gha,Ka a wobɛka no pintinn ho hia wɔ atipɛnfo nhyɛso a wobɛfa so no mu efisɛ ɛma wutumi ka w’ahye ho asɛ,Fa ahye (boundaries) a emu da hɔ si hɔ: Kyerɛkyerɛ w’ankasa gyinapɛn ne ahye ahorow a ɛfa nna ne awo
99,Aka_Gha,Mmabun betumi aboa wɔn a wɔanya wɔn ti adidi mu wɔ nna mu basabasayɛ mu wɔ ɔkwan a ɛfa ɔbarima ne ɔb,"Mmabun betumi anya ahokokwaw ne ahotoso a wɔde bɛhyɛ mu yiye sɛ ahwɛfo denam nhomasua, ntetee nhyehy"
101,Aka_Gha,Wɔde Wɔn Ho Bɛka Atipɛnfo Nhomasua Nhyehyɛe Ho: Mmabun betumi akamfo akyerɛ sɛ wɔmfa nsɛm ho amanneɛ,Wiase nyinaa apɔwmuden ho nsɛm a egye ntɛmpɛ a atwam no ama yɛahu hia a ɛho hia sɛ yɛde mmabun nna n
104,Aka_Gha,Amammerɛ ne nyamesom mu gyidi ahorow betumi anya suban ne nneyɛe a ɛfa nyinsɛn a wosiw ano ntɛm a wo,Amammerɛ mu Nsunsuanso: Ebia amammerɛ ahorow bi wɔ ahyɛde anaa gyidi ahorow a emu yɛ den wɔ nyinsɛn 
107,Aka_Gha,Bere tenten a wɔde di akyi ne bere a wɔde hwɛ no akyi no gu ahorow gyina ɔbabun no ahiade pɔtee ne n,"Aane, atipɛnfo mmoa akuw ne nkitahodibea afoforo a ɛnyɛ ɔkwan pa so wɔ hɔ a mmabun betumi akɔ wɔn nk"
111,Aka_Gha,"Nkitahodi a etu mpɔn hwehwɛ sɛ wɔde nnamyɛ tie, wɔde nokwaredi ne obu bɛda nsusuwii ne nkate adi, na","Nneɛma atitiriw a ɛwɔ nkitahodi a ɛyɛ den mu no bi ne kasa a emu da hɔ na ɛyɛ tẽẽ a wode bedi dwuma,"
112,Aka_Gha,Sɛ woresusuw mmanfoɔ amanneɛbɔ anaa akontabuo a ɛfa nna mu akwahosan ho a wotumi de wo ho to so na ɛ,W'ankasa nya fapem : Yɛ pintinn wɔ wo gyidi ne gyinapɛn ahorow a wobɛda no adi wɔ nkɔmmɔbɔ mu no mu.
113,Aka_Gha,"Yiw, apomoden ho adwumayɛbea ahorow a ɛyɛ mmerante ne mmabaa adamfofa su taa de nneɛma ahorow ma de ",Mmabun betumi akasa ama hokwan a wɔwɔ sɛ wɔde kokoamsɛm  sie wɔ nna ne awoɔ apomoden ho nhyehyɛe mu 
114,Aka_Gha,Mmabun betumi anya nsɛm ho amanneɛbɔ ho nimdeɛ a wɔde bɛkasa atia nkrasɛm a epira na wɔde nsakrae pa,"Nsɛm ho amanneɛbɔ ho nimdeɛ betumi aboa wo ma woasusuw nkrasɛm, mfonini, ne nsɛm a ɛfa ɔbarima ne ɔb"
117,Aka_Gha,Apɔwmuden nhyehyɛe a wɔbɛhyɛ mu den wɔ wiase nyinaa apɔwmuden ho tebea horow a egye ntɛmpɛ te sɛ ɔya,Nnuru a wɔde di dwuma betumi anya adwenem apɔwmuden so nkɛntɛnso kɛse. Ebetumi asɛe adwene no mu nnu
119,Aka_Gha,"Aban ahorow, NGO ahorow, ne mpɔtam ahyehyɛde ahorow di dwuma titiriw wɔ nhomasua ne adwumayɛ ho ntet","Apomoden ho adwumayɛfo betumi akura nna ne awoɔ hokwan ahorow a mmabun wɔ mu denam: Mmabun ahofadi, "
120,Aka_Gha,"Mmeranteɛ ne mmabaawa bɛtumi afa akwan ahodoɔ so atia amuo ne nyiyim wɔ wɔn mpɔtam, na wɔagyina ama ","Mmabun betumi ne mpɔtam hɔ mpɔtam hɔfo, nnwumakuo ahorow, ne nhyehyɛeyɛfo ayɛ adwuma abom de ama nna"
126,Aka_Gha,Wobetumi ayɛ nhyehyɛe ahorow a wɔde besiw nna mu basabasayɛ ano na wɔahyɛ pene a wɔpene so ho nkuran,CSE di dwuma titiriw wɔ mmarima ne mmea pɛyɛ a wɔhyɛ ho nkuran no mu denam mmarima ne mmea gyinapɛn 
128,Aka_Gha,"Ɛkyerɛ sɛ worefa mpanyinyɛ kwan so nanso wohyia ɔhaw bi te sɛ 'stigma', nyiyimu ne mmeammea a wontum",Kasa kyerɛ wo dɔkota. Kɔ clinics a wɔbɛka w'asɛm kokoam. Fa adamfo ka wo ho. Bɔ kɔkɔ sɛ wɔyi wo asɛm
132,Aka_Gha,"Dadwen: Adwennwene betumi ama adwumayɛ ho dadwen aba, .ɛma ɛyɛ den sɛ wobɛgye w’ahome na woanya nna ","Sɛ wohu sɛ wowɔ nna mu yareɛ  (STI) a, ebetumi aka w’adwene akwahosan wɔ akwan horow pii so, a nea ɛ"
133,Aka_Gha,"Mmabun betumi akamfo nna ne awo akwahosan ho nsɛmti ho mfonini a ɛyɛ pɛpɛɛpɛ, a ɛka obiara ho, na ɛy",Akyerɛkyerɛfo ne akwahosan ho adwumayɛfo betumi ayɛ adesua tebea a ɛboa na ɛka obiara ho denam nkita
134,Aka_Gha,"Anansesɛm no bi ne sɛ, ɛyɛ nhyɛ sɛ wodi nna mu agorɛ wɔ mpenatweɛ mu. Wei ɛɔnnyɛ nokware. Wo ne wo h",Anansesɛm ne nokwasɛm bi ni: Atosɛm: Nnipa a wɔadi dɛm no ntumi nyɛ hwee. Nokwasɛm: Nnipa a wɔadi dɛ
135,Aka_Gha,Nkitahodi a Wɔabue Mu: Fi ase bɔ nkɔmmɔ a emu da hɔ na ɛkyerɛ obu fa abrabɔ pa ho nsɛmti te sɛ pene ,"ɛbi ne: Nkɔmmɔbɔ a emu da hɔ na ɛyɛ nokware: Kyerɛ w’adwene, wo nkaeɛ, ne w’ahyeɛ pefee na di nokwar"
136,Aka_Gha,Mmara ne nhyehyeɛ a ɛfa ɔhokafoɔ amanneɛbɔ a ɛfa nna mu yarewa a yɛfrɛ no wɔ broɔfo kasa mu sɛ STI n,Afotu betumi adi dwuma titiriw wɔ adwene a ɛnteɛ a wodi ho dwuma ne animtiaabu a ɛfa nna mu yarewa  
140,Aka_Gha,Ahintasɛm: Ahintasɛm kyerɛ sɛ nea wo ne wo fotufo susuw ho no da so ara yɛ kokoam. Wɔmfa nsɛm a wɔky,Ebia tebea horow bi wɔ hɔ a atipɛnfo nhyɛso anaa asetra mu akwanhwɛ ahorow bɛkasa atia wo gyinapɛn n
142,Aka_Gha,Nneɛma a ɛwɔ hɔ a ɛbɛboa mmabun ma wɔate hokwan a wɔwɔ sɛ wɔpene so na wosi gyinae wɔ nna ne awo akw,Ɔbarima ne ɔbea nna ne awo apɔwmuden ho nkyerɛkyerɛ nhyehyɛe ahorow a wɔde ma wɔ sukuu ahorow anaa m
150,Aka_Gha,"Hwehwɛ nsɛm a wotumi de ho to so fi ahyehyɛde ahorow a agye din anaa beaeɛ a yɛtumi de yɛn ho to so,",Nsɛm ho amanneɛbɔ ho nimdeɛ ma mmabun tumi susuw nkrasɛm a wɔde ma wɔ nsɛm ho amanneɛbɔ mu a ɛfa nna
152,Aka_Gha,"Apomoden ho adwumayɛfo betumi akura nna ne awoɔ hokwan ahorow a mmabun wɔ mu denam: Mmabun ahofadi, ",Akwahosan ho adwumayɛfoɔ bɛtumi afa amammerɛ ahodoɔ mu de nna ne awo akwahosan (SRH) ho dwumadie a ɛ
153,Aka_Gha,Mmabun betumi anya nneɛma ne mmoa nhyehyɛe ahorow a ɛbɛboa ma wɔafa pene ho ntease ma wɔ nna ne awoɔ,"Aane, nneɛma bi wɔ hɔ a wobetumi de ama mmabun a wɔrehyia abusuabɔ mu ayayade anaa basabasayɛ, a nea"
162,Aka_Gha,"Atosɛm ne adwene a ɛnteɛ pii wɔ hɔ a ɛfa nnuru a wɔde di dwuma ne adwenem ahokwasan  ho, a nea ɛka h",Mmabun betumi asiw awo akwahosan ho nsɛm ano denam: Ɔbarima ne ɔbea nna a ahobammɔ wom a wɔde bedi d
163,Aka_Gha,Nsɛm ho amanneɛbɔ akenkan ne akyerɛw nhyehyɛe a ɛwɔ sukuu ahorow mu no nam dwumadi ahorow so hyɛ asu,Amammerɛ  ne nneyɛeɛ a ɛwɔ mpɔtam hɔ na ɛkyerɛ nsɛm ho amanneɛbɔfo nkrasɛm ase na wɔyɛ ho biribi wɔ 
169,Aka_Gha,Nhyehyɛeɛfoɔ hyehyɛ akwan a mmabun betumi afa so ama adwene anaa wɔakyerɛ dadwen wɔ suban pa a ɛwɔ n,Mmabun betumi akasa ama hokwan a wɔwɔ sɛ wɔde kokoamsɛm  sie wɔ nna ne awoɔ apomoden ho nhyehyɛe mu 
172,Aka_Gha,"Amammerɛ, nyamesom, ne asetena mu gyinapɛn ahorow nya abrabɔ pa ahye ne gyinapɛn ahorow a wɔde di dw",Amammerɛ ne nyamesom mu gyidi ahorow betumi anya suban ne nneyɛe a ɛfa nyinsɛn a wosiw ano ntɛm a wo
174,Aka_Gha,Dwumadi ahorow a wode di dwuma anaa sɛ wode sua ade betumi ama wo nkitahodi ho nimdeɛ ne ahotoso a w,Hwehwɛ afotu ne mmoa: Dan kɔ atipɛnfo a wɔwɔ adwempa nkyɛn kɔhwehwɛ afotu ne mmoa bere a worehyia te
179,Aka_Gha,Mmabun betumi ahwɛ sɛ wɔbɛdi hokwan a wɔwɔ wɔ nhomasua ne adwumayɛ ho ntetee ho no so na wɔabu wɔn n,Nhwehwɛmu a wobɛyɛ wɔ intanɛt so nhwehwɛmu ne dodow a wɔde ma mu de ahwɛ sɛ mmerante ne mmabaa afofo
180,Aka_Gha,Mmabun betumi akasa atia ɔbarima ne ɔbea nna ho gyinapɛn ne nsusuwii hunu a epira wɔ wɔn atipɛnfo ak,Wobetumi de abɛɛfo ntentanfidie ne dijitaal akwan adi dwuma sɛ adeɛ a wɔde hyɛ nipadua mu nneɛma pa 
182,Aka_Gha,"Anansesɛm no bi ne sɛ, ɛyɛ nhyɛ sɛ wodi nna mu agorɛ wɔ mpenatweɛ mu. Wei ɛɔnnyɛ nokware. Wo ne wo h",Nsɛm ho amanneɛbɔfo nkrasɛm a ɛfa nna ne awoɔ apomoden ho a wogye tum na wɔde hyɛ wɔn mu a wɔankasa 
184,Aka_Gha,Nhomasua a Ɛkɔ Akyiri: Dwumadi ahorow betumi ama nsɛm a ɛyɛ nokware wɔ nna ne awo akahosan (ASRH) ns,Nkɔmmɔbɔ ne Biakoyɛ a Wɔbɛhyɛ: Nsɛm ho amanneɛbɔ ho nimdeɛ ho nhyehyɛe ahorow betumi ama mmabun a wo
187,Aka_Gha,"Yiw, mmara ne nhyehyɛe ahorow bɔ hokwan ahorow a mmabun wɔ sɛ wonya nna ne awo ho akwahosan ho nhyeh","Aane, ɔkwantuo kwan pɔtee bi bɛtumi aba hɔ a mmabun bɛtumi afa so akɔ ayaresabea ahorow, a ebi ne: S"
188,Aka_Gha,Nkɔmmɔbɔ ahorow a ɛfa nna ho wɔ nsɛm ho amanneɛbɔ mu no ne mmabun nna ne awo apɔwmuden ho nneɛma afo,Nna ho nkyerɛkyerɛ a ɛkɔ akyiri boa mmabun ma wɔsi gyinaeɛ a nimdeɛ wom wɔ wɔn nna mu apɔmuden ne su
189,Aka_Gha,"Yiw, mpɔtam hɔ nneɛma ne ahyehyɛde ahorow bi wɔ hɔ a wobetumi aboa mmabun ma wɔadi asasesin mu akwan",Mmara kwan so ahobanbɔ wɔ hɔ a ɛbɛma mmabun a wɔyem anya nna ne awo apomoden ho nnwuma a ɛyɛ kokoamu
190,Aka_Gha,"Amammerɛ mu gyinapɛn ahorow, gyinapɛn ahorow, ne akwanhwɛ ahorow nya mmabun paw ne hokwan ahorow a ɛ","Ɔkwan a egyina hokwan ahorow so gye tom sɛ asetra, sikasɛm, ne nneɛma a atwa yɛn ho ahyia a ɛtrɛw, a"
193,Aka_Gha,Nkate mu nhyehyɛe kyerɛ tumi a obi tumi di nkate horow ho dwuma na ɔyɛ ho biribi wɔ ɔkwan a ɛfata na,Asetra mu nimdeɛ yɛ tumi ne nneyɛe a ɛma ankorankoro tumi di da biara da asetra mu ahwehwɛde ne ɔhaw
195,Aka_Gha,Abɛɛfo akenkan ne akyerɛw ho nimdeɛ ho hia ma mmabun sɛ wobenya nsɛm a ɛyɛ nokware a ɛfa nna mu akwa,Amammerɛ ne ɔmanfo gyinapɛn ahorow na ɛkyerɛ mmabun dijitaal osuahu ne wɔn nneyɛe: Amammerɛ mu nkate
198,Aka_Gha,Nkɔmmɔbɔ ne Biakoyɛ a Wɔbɛhyɛ: Nsɛm ho amanneɛbɔ ho nimdeɛ ho nhyehyɛe ahorow betumi ama mmabun a wo,"Amammerɛ mu gyinapɛn ahorow, gyinapɛn ahorow, ne akwanhwɛ ahorow nya mmabun paw ne hokwan ahorow a ɛ"
199,Aka_Gha,Mmabun betumi adi ntawantawadi anaa adwene a enhyia ho dwuma wɔ akwan a ɛfata so denam: Nkitahodi a ,Mmabun betumi adi ntawntawdi anaa adwene a enhyia wɔ nkitahodie bi mu ho dwuma wɔ ɔkwan a ɛma denhyɛ
200,Aka_Gha,"Mmoawa (bacteria) na ɛde 'bacterial STIs' ba, na mmoawa nketenkete (viruses) nso na ɛde 'viral STIs'","""Hormone"" adutoɔ (Hormonal birth control) fa nnuru a ɛte sɛ nipadua mu nsuo (hormones) na ɛsi awoɔ k"
209,Aka_Gha,Wubetumi afi nkɔmmɔbɔ no ase denam bere ne beae a ɛfata a wobɛpaw a wobɛte nka sɛ wo ho tɔ wo na wow,"Aane, adwenem apɔwmuden ho mmoa bi wɔ hɔ a ɛwɔ Intanɛt so a wobetumi anya wɔ kasa ahorow pii mu anaa"
211,Aka_Gha,Bɔbeasu ho gyinapɛn ne nsusuwii hunu betumi anya sɛnea mmabun hu nna ne awo akwahosan ho nsɛm ne nnw,"Nsɛm ho amanneɛbɔfo a wɔde kyerɛ ɔbarima ne ɔbea nna, nna, ne nkitahodie betumi anya mmabun adwene, "
212,Aka_Gha,Sukuu ahodoɔ betumi: Ne mpɔtam kuo ne ayaresabea ayɛ nkabom. Wɔbɛto ato nsa afrɛ 'experts' (nimdefoɔ,"Ɛgyina mmara no so. Nanso mmabun taa nya hokwan sɛ wɔhwehwɛ mmoa (contraception, STI, abortion) koko"
214,Aka_Gha,Ɔbarima ne ɔbea nna ho akɔnnɔ kyerɛ onipa a w’ani gye ne ho wɔ ɔdɔ ne/anaasɛ honam fam. Nsɛmfua bi a,"Adeɛ bi a wɔ fre no wɔ borɔfo kasa mu sɛ (toxic relationship): Sɛ wo ne obi a ɔma wo brɛ ase, odi wo"
215,Aka_Gha,"Nsɛm ho amanneɛbɔ a ɛkyerɛ pɛ a wɔpene so, ahyeɛ, ne nnamfofa pa betumi aka mmabun nteaseɛ a wɔwɔ wɔ","Nneɛma a wɔyɛ a ɛfa nna ho nsɛm ho wɔ nsɛm ho amanneɛbɔ mu no boa ma wɔhyɛ nipadua mu nneɛma pa, pen"
216,Aka_Gha,"Yiw, abɛɛfo kwantenpɔn so nneɛma ne mmeae pii wɔ hɔ a mmabun betumi anya nna ne awo akwaahosan ho ns",Nkitahodi a nokwaredi wom a wo ne wo hokafo benya no yɛ ade titiri a ɛbɛma woanya abusuabɔ pa. Afotu
218,Aka_Gha,Hyɛ nkɔmmɔ a emu da hɔ ho nkuran na tie a wunsusuw ho bere a woda wo nkate adi no. Fa nkate fam mmoa,"Sɛ wowɔ nsɛm bi a ɛhaw wo wɔ afotu anaa ayaresa a wobefi ase anaasɛ wobɛtoa so ho a, ɛho hia sɛ wudi"
220,Aka_Gha,Apɔw-mu-teɛteɛ a wɔyɛ no daa wɔ mmerantebere ne mmabaabere mu no de mfaso pii ba: Nipadua mu Akwahos,Ɛsɛ sɛ nnuan a ahoɔden wom ne nnuan a wodi wɔ mmerantebere ne mmabaabere mu no ma aduannuru a ɛkari 
221,Aka_Gha,"Digitals media akenkan ne akyerɛw ho nneɛma, nnwinnade, anaa nhyiam ase a mmabun betumi anya bi ne: ","Awofoɔ, akyerɛkyerɛfoɔ, ne wɔn a wɔhwɛ mmabun bɛtumi aboa mmabun ma wɔafa intanɛt so abusuabɔ mu dwo"
223,Aka_Gha,Mmara a ɛbɔ LGBTQ+ ankorankoro ho ban fi nyiyim ho wɔ awo apɔwmuden ho nhyehyɛe a wobenya mu no betu,"Yiw, mmabun betumi anya nna ne awo ho akwahosan ho nhyehyɛe a wonni insurance anaa sika. Ayaresabea "
226,Aka_Gha,"Nsɛm ho amanneɛbɔ ho adesua ma mmabun tumi sɛ: Wohu na wɔkasa tia nsusuwii hunu, nsɛm a ɛnteɛ, ne nn",Kasa ma a aborɔfo ka no sɛ 'advocacy': Kasa ma nna mu nkyekyerɛ dwumadie wɔ sukuu ne mpɔtam hyia mu 
229,Aka_Gha,Mmabun betumi adi ntawntawdi anaa adwene a enhyia wɔ nkitahodie bi mu ho dwuma wɔ ɔkwan a ɛma denhyɛ,Nea yɛfrɛ no wɔ broɔfo kasa mu sɛ algorithms ne abɛɛfo kwantenpɔn so dwumadibea ahorow di dwuma titi
230,Aka_Gha,"Ɛwom sɛ LGBTQ+ nhyia wɔ Ghana deɛ, nanso afotufoɔ ne nneɛma a ɛnyɛ den sɛ wɔbɛnya bi wɔ hɔ a wɔde bɛ",wo sukuu ɔyarehwɛfo anaa akwahosan ho dwumayɛni ne wo bɛbɔ nna ho nsɛm ho nkɔmmɔ. Wobu LGBTQ+ sɛ mma
231,Aka_Gha,"Yiw, mpɔtam hɔ nneɛma ne ahyehyɛde ahorow bi wɔ hɔ a wobetumi aboa mmabun ma wɔadi asasesin mu akwan",Mmabun betumi akasa ama hokwan a wɔwɔ sɛ wɔde kokoamsɛm  sie wɔ nna ne awoɔ apomoden ho nhyehyɛe mu 
232,Aka_Gha,"Abɛɛfo Ntentan ne ""Online Activism"" a Wɔde Di Dwuma: Mmabun betumi de abɛɛfo ntentan dwumadi, ""digit","Mmabun betumi de ntentanfidie, mfiridwuma, ne dijitaal akwan adi dwuma ne wɔn mpɔtam hɔfo adi nkitah"
247,Aka_Gha,Mmabun betumi ahwɛ ahu sɛ wɔn akwahosan ho adwumayɛfo nim nea wɔpɛ wɔ awofo a wɔde wɔn ho bɛhyɛ mu h,Mmabun betumi ahwɛ ahu sɛ wobenya nsɛm a ɛyɛ nokware na enni animhwɛ denam nnwuma a wɔbɛhwehwɛ afi a
248,Aka_Gha,Ɛsɛ sɛ mmabun a wɔadi dɛm de wɔn ho hyɛ nna ne awo akwahosan ho nhyehyɛe ne nhyehyɛe ahorow a ɛhaw w,Wobetumi ahyɛ wiase nyinaa akwahosan ho a ɛhia sɛ wɔma ani kɔ ho nhyehyɛe ne nhyehyɛe ahorow mu den 
250,Aka_Gha,Yebetumi de ahye a emu da hɔ ne kokoam apam ahorow asi hɔ de ahwɛ ahu sɛ wo ho tɔ wo sɛ wobɛka w’adw,"Hu sɛ ɛyɛ ade a ɛfata sɛ wobɛte aniwu anaa wo ho yeraw wowɔ wɔ nsɛmti a ɛho hia ho nkɔmmɔbɔ mu, nans"
253,Aka_Gha,Ankorankoro Ahye: Ka w’ahye ho asɛm pefee na bu afoforo ahye. Mpene: Hwehwɛ na bu pene bere nyinaa w,Akwahosan ho adwumayɛfoɔ ne wɔn a wɔde nnwuma ma no bɛtumi ayɛ mmeaeɛ a ɛsi ɔbarima ne ɔbaa ntam na 
