val_idx,subset,pred_s5,pred_s7
1645,Eng_Eth,No. Syphilis is a bacterial infection that is mainly spread through sexual contact. It is not a curs,"This is a question about, Syphilis. No. Syphilis is a bacterial infection that spreads mainly throug"
1648,Eng_Eth,"This is a question about, Syphilis. Neurosyphilis can cause dementia, madness, personality changes, ","This is a question about, Syphilis. A non-itchy body rash, often on the palms of the hands and soles"
1649,Eng_Eth,"This is a question about, Herpes. No. People with herpes can marry, have children, and live normal l","No. People with herpes can marry, have children, and live normal lives. They just need to take preca"
1651,Eng_Eth,"This is a question about, HIV/AIDS. No. Kissing does not spread HIV. It spreads through unprotected ","No. Kissing does not spread HIV. It spreads through unprotected sex, sharing needles, or blood conta"
1653,Eng_Eth,Women usually do not know they have HPV unless they are tested through Pap smears or HPV tests at he,"This is a question about, HPV. Women are tested through Pap smears or HPV tests at health centers."
1661,Eng_Eth,"No, you cannot get herpes by sharing food, drinks, cups, or utensils in normal daily life.","This is a question about, Trichomoniasis. Yes. Men can carry trichomoniasis without knowing and pass"
1670,Eng_Eth,"This is a question about, Economy/Nutrition. Focus on beans, lentils, eggs (if affordable), and grou","This is a question about, Nutrition/Health. Signs can include cracked lips/mouth corners, easily bru"
1672,Eng_Eth,"This is a question about, Herpes. Herpes is a virus that causes painful blisters around the mouth or","This is a question about, Herpes. Herpes cannot be cured but medicines reduce outbreaks and spread. "
1674,Eng_Eth,Do not advise a traditional method. Refer her to a hospital or licensed gynecologist who can provide,"Emphasize that breast milk is perfect and free, while formula is expensive, requires clean water (hi"
1681,Eng_Eth,"Yes, they do. HPV vaccines are highly effective and are designed to prevent the most dangerous types","This is a question about, HPV. Yes. HPV vaccines prevent the most dangerous types that cause cancer "
1686,Eng_Eth,"Young people who are sexually active should test at least once a year, or more if at higher risk.","Young people should test at least once a year if they are sexually active, and more often if they ar"
1697,Eng_Eth,"This is a question about, Trichomoniasis. Yes. If untreated, it can increase the risk of HIV and oth","This is a question about, Trichomoniasis. Yes. If untreated, it can increase the risk of getting HIV"
1699,Eng_Eth,Trichomoniasis is an infection caused by a small parasite. It spreads during sex and is common but c,It is diagnosed by examining vaginal or urethral swabs under a microscope or via lab tests.
1700,Eng_Eth,"This is a question about, STIs/Perinatal. Yes, Syphilis and Gonorrhea can be passed during birth and","Not completely true. While Most hidden sicknesses are passed through intimate sexual contact, some c"
1702,Eng_Eth,"Condoms greatly reduce the risk, but some infections like HPV can still spread through skin contact.","This is a question about, HIV/AIDS. Yes. Condoms are highly effective in preventing HIV and many oth"
1704,Eng_Eth,"This is a question about, Gonorrhea. Yes. Even after treatment, you can get gonorrhea again if you h","This is a question about, Gonorrhea. No. Prayer and fasting are good for faith, but gonorrhea needs "
1707,Eng_Eth,Syphilis is an infection that spreads during sex. It starts with painless sores and later affects th,"This is a question about, Syphilis. The infected person is asymptomatic but can still transmit the d"
1713,Eng_Eth,"This is a question about, Economic/Child Health. Basic childhood vaccines are usually provided for f","This is a question about, Gonorrhea. Yes. The treatment of the mother, combined with the mandated er"
1716,Eng_Eth,Go to the clinic immediately for the PEP medicine (Post-Exposure Prophylaxis) to prevent HIV. This i,"This is a question about, HIV/AIDS. HIV cannot be cured, but antiretroviral medicines help people li"
1730,Eng_Eth,"This is a question about, Economic/Child Health. Basic childhood vaccines are usually provided for f","This is a question about, Gonorrhea. Yes. The treatment of the mother, combined with the mandated er"
1735,Eng_Eth,No. Washing after sex does not prevent HIV or other STIs. Using condoms correctly and consistently i,No. Washing after sex does not prevent HIV or STIs. Using condoms is the best protection.
1744,Eng_Eth,"No, they cannot force you. You have the right to choose a method or refuse a method. You must give y","This is a question about, General. No. Medical ethics and privacy laws (in most countries) mandate s"
1747,Eng_Eth,Herpes is a virus that causes painful blisters around the mouth or private parts. It can return many,"This is a question about, Herpes. Cold sores or fever blisters (when on the mouth)."
1749,Eng_Eth,The time between initial infection and when a specific test can reliably detect the virus or antibod,"This is a question about, HIV/AIDS. The window period is typically 3-6 weeks post-exposure, though 9"
1753,Eng_Eth,"This is a question about, Symptoms. Boys and girls aged 9–14, and anyone up to 26 who missed vaccina","This is a question about, Economy/Support. A vaccine that protects against high-risk HPV types linke"
1762,Eng_Eth,"No, they cannot force you. You have the right to choose a method or refuse a method. You must give y","This is a question about, Partner Treatment/Culture. This practice emphasizes accountability. While "
1769,Eng_Eth,"This is a question about, General. No. Alcohol does not cure infections inside the body. Proper trea",Doctors and medical experts say that drinking alcohol does NOT kill STI germs. Proper treatment is n
1776,Eng_Eth,Herpes cannot be cured but treatments can reduce outbreaks and transmission. It can be prevented by ,"This is a question about, Herpes. Herpes cannot be cured but medicines reduce outbreaks and spread. "
1785,Eng_Eth,"This is a question about, Gonorrhea. Gonorrhea is treated with antibiotics. It can cause infertility",Gonorrhea can be prevented through condom use and maintaining faithful partnerships. If left untreat
1790,Eng_Eth,"No. While the vaccine prevents the highest-risk types, it doesn't cover all cancer-causing types, an","This is a question about, HPV. They are related. The Pap smear looks for cell changes (pre-cancer). "
1808,Eng_Eth,"This is a question about, Gonorrhea. Yes. Even after treatment, you can get gonorrhea again if you h","This is a question about, Gonorrhea. No. Prayer and fasting are good for faith, but gonorrhea needs "
1809,Eng_Eth,"This is a question about, Trichomoniasis. Yes. Having trichomoniasis makes it easier to get HIV if e","This is a question about, Trichomoniasis. Yes, it can cause genital inflammation that makes a person"
1813,Eng_Eth,"This is a question about, Herpes. Cesarean Section (C-section) is recommended to avoid the baby's co","This is a question about, Herpes. Yes, herpes can be passed to newborns during delivery, leading to "
1814,Eng_Eth,No. Your faith supports your health and well-being. A loving husband should respect your body and no,"No, it is not a sin. Learning about health and the body is wise and responsible. Knowledge is power "
1819,Eng_Eth,"No. Using contraceptives, such as pills or injections, is a safe and responsible health choice. Fami","This is a question about, Herpes. Herpes cannot be cured but medicines reduce outbreaks and spread. "
1825,Eng_Eth,"HIV does not spread through kissing. Prevention includes using condoms, safe sex, and not sharing ne","This is a question about, HIV/AIDS. HIV cannot be cured, but antiretroviral medicines help people li"
1826,Eng_Eth,"This is a question about, General. Experts recommend testing every 3 to 6 months if you have multipl",Remind them that they are more than their diagnosis. Encourage them to practice self-care and tell t
1828,Eng_Eth,"This is a question about, Herpes. Condom use, avoiding sex during outbreaks, and taking suppressive ","This is a question about, Herpes. Cesarean Section (C-section) and giving the mother IV antiviral me"
1845,Eng_Eth,"This is a question about, Trichomoniasis. No. Many people do not notice signs, but it can still spre","No. Many people do not notice signs, but it can still spread. When symptoms appear, it often causes "
1849,Eng_Eth,Some places offer a rapid finger-prick test or an oral swab test (using fluid from the mouth). Ask y,"This is a question about, General. Experts recommend testing every 3 to 6 months if you have multipl"
1855,Eng_Eth,"This is a question about, Gonorrhea. Gonorrhea is treated with antibiotics. It can cause infertility",Gonorrhea can be prevented through condom use and maintaining faithful partnerships. If left untreat
1860,Eng_Eth,"Syphilis is curable with penicillin. If left untreated, it can damage the brain, heart, and other or","This is a question about, Syphilis. Syphilis is cured with penicillin. If untreated, it damages the "
1862,Eng_Eth,"Young people who are sexually active should test at least once a year, or more if at higher risk.","This is a question about, HIV/AIDS. Young people who are sexually active should test at least once a"
1868,Eng_Eth,"No, it's a quick, small needle stick into the arm. The mild pain usually lasts only  for few minutes","No, withdrawal is not safe for STI prevention. Infections like Syphilis and Herpes are spread throug"
1880,Eng_Eth,"No, HPV (Human Papillomavirus) does not have a cure, but vaccines prevent dangerous types. Some stra","This is a question about, HPV. No. HPV cannot be cured, but vaccines prevent it and doctors can trea"
1882,Eng_Eth,"Prayer or faith can help emotionally and spiritually, but gonorrhea is prevented through practical h","This is a question about, Gonorrhea. Yes, recommended injections can cure gonorrhea, but drug resist"
1901,Eng_Eth,"You cannot undo the gossip, but you can talk to a counselor about how to manage the shame and find n","This is a question about, GBV/Access. Ask your CHW or the local police for the nearest women's shelt"
1908,Eng_Eth,Doctors and medical experts say that drinking alcohol does NOT kill STI germs. Proper treatment is n,"This is a question about, General. No. Alcohol does not cure infections inside the body. Proper trea"
1914,Eng_Eth,"Banks are formal and require extensive paperwork and collateral, while microloan organizations like ","Present the evidence: ""A dowry is spent quickly, but my education is a lifetime investment that will"
1915,Eng_Eth,"The risk is extremely low, as the germs die quickly outside the body. You mostly need to worry about","This is a question about, HIV/AIDS. No. HIV does not spread through sharing food, utensils, or drink"
1929,Eng_Eth,"The characteristic lesion of primary syphilis is a chancre, typically painless, firm, indurated and ","This is a question about, Syphilis. A non-itchy body rash, often on the palms of the hands and soles"
1935,Eng_Eth,"Yes, they do. HPV vaccines are highly effective and are designed to prevent the most dangerous types","This is a question about, HPV. Yes. HPV vaccines prevent the most dangerous types that cause cancer "
1939,Eng_Eth,"This is a question about, Religion/Mental Health. No. Sadness is a sign of a physical or emotional b","Deep breathing (counting slowly), walking in nature, talking to a trusted friend, prayer/meditation,"
1942,Eng_Eth,"This is a question about, Trichomoniasis. Yes. Men can carry trichomoniasis without knowing and pass","This is a question about, Trichomoniasis. Trichomoniasis is curable with medicines like metronidazol"
1952,Eng_Eth,"This is a question about, Gonorrhea. Yes. If not treated, gonorrhea can damage the body and cause in","This is a question about, Gonorrhea. Yes. If untreated, gonorrhea can damage the reproductive system"
1958,Eng_Eth,"No, they cannot force you. You have the right to choose a method or refuse a method. You must give y","This is a question about, Partner Treatment/Culture. This practice emphasizes accountability. While "
1960,Eng_Eth,"Present the evidence: ""A dowry is spent quickly, but my education is a lifetime investment that will","Explain that having her own money means she has the power to say ""No"" to violence, feed her children"
1961,Eng_Eth,No. Herbs cannot cure trichomoniasis. Trichomoniasis is a parasitic infection that is curable only w,"This is a question about, Trichomoniasis. Trichomoniasis is curable with medicines like metronidazol"
1971,Eng_Eth,"Present the evidence: ""A dowry is spent quickly, but my education is a lifetime investment that will","Explain that having her own money means she has the power to say ""No"" to violence, feed her children"
1975,Eng_Eth,Yes. HPV vaccines protect against the most dangerous HPV types that cause cancer and genital warts.,"This is a question about, HPV. Yes. HPV vaccines prevent the most dangerous types that cause cancer "
1978,Eng_Eth,"This is a question about, Herpes. No. People with herpes can marry, have children, and live normal l","No. People with herpes can marry, have children, and live normal lives. They just need to take preca"
1980,Eng_Eth,"This is a question about, Economic/Child Health. Basic childhood vaccines are usually provided for f","Delay is caused by first seeking a traditional healer, trying home remedies for too long, or waiting"
1987,Eng_Eth,"There is no cure, but antiretroviral therapy (ART) can control HIV and allow people to live long, he","This is a question about, HIV/AIDS. There is no cure, but antiretroviral therapy (ART) can control H"
1993,Eng_Eth,"HIV cannot be cured, but antiretroviral medicines help people live long and healthy lives. Preventio","This is a question about, HIV/AIDS. HIV cannot be cured, but antiretroviral medicines help people li"
1997,Eng_Eth,"Banks are formal and require extensive paperwork and collateral, while microloan organizations like ","Present the evidence: ""A dowry is spent quickly, but my education is a lifetime investment that will"
2000,Eng_Eth,"This is a question about, Religion/Forgiveness. Your religion loves and supports you. The infection ","This is a question about, Religion/Stigma. No. Religious communities are meant to support the sick, "
2004,Eng_Eth,Doctors and medical experts say that drinking alcohol does NOT kill STI germs. Proper treatment is n,"This is a question about, General. No. Alcohol does not cure infections inside the body. Proper trea"
2007,Eng_Eth,"This is a question about, HIV/AIDS. HIV cannot be cured, but antiretroviral medicines help people li",No. HIV does not spread through kissing.
2015,Eng_Eth,"Prayer provides hope and emotional strength, but HIV requires medical treatment. ARVs are necessary ","This is a question about, HIV/AIDS. Prayer gives hope and strength, but HIV needs medical treatment."
2021,Eng_Eth,"This is a question about, HIV/AIDS. Doctors use blood tests to check for HIV. Sometimes rapid finger","This is a question about, HIV/AIDS. Blood tests or rapid finger-prick tests detect HIV. Results may "
2023,Eng_Eth,"This is a question about, Chlamydia. No. Chlamydia cannot live outside the body. It spreads only thr","This is a question about, Chlamydia. No. Chlamydia does not survive outside the body. It spreads onl"
2027,Eng_Eth,Go to the clinic immediately. It should not hurt after the first day. The health worker needs to che,Seek help immediately. This is a danger sign. Try to hold the baby skin-to-skin and offer the breast
2028,Eng_Eth,Do not advise a traditional method. Refer her to a hospital or licensed gynecologist who can provide,"Emphasize that breast milk is perfect and free, while formula is expensive, requires clean water (hi"
2037,Eng_Eth,Herpes is a virus that causes painful blisters around the mouth or private parts. It can return many,"This is a question about, Herpes. Cold sores or fever blisters (when on the mouth)."
2041,Eng_Eth,"No, HPV has no cure even using modern medicines, but vaccines prevent dangerous types. Some strains ","This is a question about, HPV. Yes. HPV is common among girls and boys. Some HPV types can cause can"
2048,Eng_Eth,"Culturally, it is seen as immodest and important to keep it hidden. Ensure you dispose of or wash yo","Change the pad or cloth every 4 to 6 hours during the day, or as soon as it feels wet or heavily soi"
2052,Eng_Eth,"No, you cannot get herpes by sharing food, drinks, cups, or utensils in normal daily life.","This is a question about, Trichomoniasis. Yes. Men can carry trichomoniasis without knowing and pass"
2058,Eng_Eth,"This is a question about, Syphilis. Syphilis is cured with penicillin. If untreated, it damages the ","You must buy the whole pack and finish all the medicine. If you buy one at a time, you risk the infe"
2061,Eng_Eth,"This is a question about, Trichomoniasis. Yes. With the right medicine, it is fully curable.","This is a question about, Trichomoniasis. Yes. With the right medicine, trichomoniasis can be cured "
2063,Eng_Eth,"This is a question about, Mental Health/STIs. Emotionally, yes, she will be hurt and stressed. Physi","This is a question about, HIV/AIDS. If you have unprotected sex, you can get HIV from your husband. "
2072,Eng_Eth,"You cannot undo the gossip, but you can talk to a counselor about how to manage the shame and find n","This is a question about, GBV/Access. Ask your CHW or the local police for the nearest women's shelt"
2074,Eng_Eth,"This is a question about, HPV. Cryotherapy (freezing), electrocautery (burning), surgical excision (","Yes, warts can be treated with topical medicine or removed by a doctor. However, the virus itself st"
2079,Eng_Eth,"This is a question about, HPV. No. Warts are caused by low-risk types (6 and 11); cancer is caused b","This is a question about, HPV. Virtually zero; they are benign and not classified as oncogenic (canc"
2081,Eng_Eth,Herpes is a virus that causes painful blisters around the mouth or the genital area.,"This is a question about, Herpes. Herpes is a virus that causes painful blisters around the mouth or"
2094,Eng_Eth,"Chlamydia is cured with antibiotics, diagnosed with urine or swab tests, and prevented by condoms an","This is a question about, Chlamydia. No. Chlamydia needs antibiotics. Without medicine, it continues"
2095,Eng_Eth,"Syphilis is curable with penicillin. If left untreated, it can damage the brain, heart, and other or","In its early stages, Syphilis is very easy to cure. The standard treatment is a single dose of Benza"
2096,Eng_Eth,"This is a question about, HIV/AIDS. HIV cannot be cured, but antiretroviral medicines help people li","HIV cannot be cured, but antiretroviral medications allow people to live long and healthy lives. Pre"
2098,Eng_Eth,Explain that violence will not stop until it is exposed. Reporting protects not only her but also ot,"No. This is a common and absurd myth. Soda is sugary and acidic, and douching will only disrupt the "
2105,Eng_Eth,"This is a question about, Chlamydia, Gonorrhea. Because the organisms are biologically distinct (bac","This is a question about, Chlamydia, Gonorrhea. Chlamydia discharge is often thin and clear/watery, "
2106,Eng_Eth,"No, HPV (Human Papillomavirus) does not have a cure, but vaccines prevent dangerous types. Some stra","This is a question about, HPV. No. HPV cannot be cured, but vaccines prevent it and doctors can trea"
2111,Eng_Eth,"This is a question about, STIs/Perinatal. Yes, Syphilis and Gonorrhea can be passed during birth and","Not completely true. While Most hidden sicknesses are passed through intimate sexual contact, some c"
2117,Eng_Eth,"This is a question about, HPV. Cryotherapy (freezing), electrocautery (burning), surgical excision (","Yes, warts can be treated with topical medicine or removed by a doctor. However, the virus itself st"
2123,Eng_Eth,"Condoms reduce the risk but do not give complete protection, since HPV can infect areas not covered ","Condoms reduce the risk but do not give full protection, because HPV can affect areas not covered by"
2132,Eng_Eth,"HIV cannot be cured, but antiretroviral medicines help people live long and healthy lives. Preventio","This is a question about, HIV/AIDS. HIV cannot be cured, but antiretroviral medicines help people li"
